p_nombre_barrio,p_Población edad de 0 a 14 ,p_Población edad de 15 a 29,p_Población edad de 30 a 44 ,p_Población edad de 45 a 64 ,p_Población edad de 65 a 79 ,p_Población edad de 80 y + ,p_Tasa absoluta paro registrado,p_Población sin estudios,p_ Población con estudios superiores,p_rankingvulnerabilidad
Vista Alegre,0.118667792392464,0.157105403483825,0.220138642019197,0.270618556701031,0.149528972627089,0.083940632776395,0.0929,0.064873864213556,0.116823748518539,0.009720076
Puerta Bonita,0.141160522205523,0.168243302979401,0.224206524622049,0.275130404031474,0.114490319158341,0.076768927003212,0.1058,0.090436143164483,0.105182867201252,0.009968226
Buenavista,0.199454734291155,0.138869655530552,0.260212913276787,0.263393629911719,0.091764756794184,0.046304310195603,0.0825,0.053844273316221,0.157437966018824,0.008737946
Abrantes,0.157143337028452,0.153313849978165,0.223151600658403,0.281937586079479,0.113876851758541,0.07057677449696,0.0972,0.068173614870962,0.118299945858148,0.0096988
Orcasitas,0.167812015074263,0.139658612281091,0.21183772999335,0.28410551984039,0.108978053646642,0.087608069164265,0.1062,0.126989848020664,0.082717606775996,0.0095275
Orcasur,0.159814323607427,0.176245210727969,0.229590333038609,0.288019451812555,0.089964633068081,0.056366047745358,0.1314,0.140965573436545,0.096251782440416,0.01030216
San Fermín,0.177301908742298,0.168899995691327,0.230298591063811,0.278211038821147,0.096514283252187,0.04877418242923,0.1086,0.086210034581084,0.100285142267791,0.009892212
Almendrales,0.141427618412275,0.170351663013438,0.247688935480797,0.272229105117697,0.092299628323644,0.076003049652149,96,0.072093759898638,0.104529616724739,0.010260079
Moscardó,0.122249863950867,0.160771204229184,0.24465521262536,0.277890072300396,0.112376584000622,0.082057062893571,0.0884,0.053632009578926,0.116643384553981,0.010054949
Zofío,0.129663429948164,0.176023946849675,0.222092428999051,0.289844491494488,0.107468788785866,0.074906913922757,0.0924,0.082055732330537,0.088612477099605,0.010102661
Pradolongo,0.137526838043289,0.176115592177798,0.245981547031857,0.265246909998259,0.102825973423084,0.072303139325712,0.0948,0.082248430081176,0.068463776994946,0.010689197
Entrevías,0.136938739480963,0.168451715412229,0.207232389807568,0.287618431118696,0.116224327664332,0.083534396516213,0.1356,0.167859922178988,0.048793774319066,0.011542827
San Diego,0.142175975364442,0.177738594879181,0.258127002259915,0.272481188069635,0.087739339906127,0.061737899520699,0.1116,0.086758743448594,0.090846161453011,0.011555846
Palomeras Bajas,0.125564042451284,0.190123270059744,0.18828304217399,0.332148529078121,0.099473140235448,0.064407976001412,97,0.080496298049292,0.119273809121336,0.010369013
Palomeras Sureste,0.132193732193732,0.170750237416904,0.212891737891738,0.299548907882241,0.114078822412156,0.070536562203229,0.1087,0.127405565055184,0.090812995491994,0.010546204
Portazgo,0.128708614017486,0.156048444890354,0.220904400171994,0.274007453060054,0.132578472122689,0.087752615737423,0.1219,0.128853609008676,0.07259553258261,0.011132322
Numancia,0.125660750354549,0.167132236022175,0.236666809918776,0.282887103012592,0.116098672052946,0.071554428638962,0.1128,0.08895603481732,0.1064755779786,0.011050521
Pavones,0.118048673053628,0.165290166281247,0.176412289395441,0.300077084021583,0.154608523290387,0.085563263957714,0.1024,0.099670628669626,0.167406558785622,0.008222203
Horcajo,0.175308251659817,0.208188428706924,0.141637685741385,0.394404046791021,0.056907998735378,0.023553588365476,0.0838,0.039168855982804,0.30212562694053,0.007217273
Marroquina,0.098290598290598,0.167981591058514,0.153700051135949,0.313755570165827,0.173241288625904,0.093030900723208,0.0771,0.044002773284031,0.238502426623527,0.007529836
Media Legua,0.106718477220251,0.1512642901391,0.18280114884271,0.28495804471476,0.176155882187306,0.098102156895872,0.0962,0.067950889077053,0.211120519333898,0.007967891
Fontarrón,0.120814104839664,0.137735179268726,0.206957756478523,0.267542302686073,0.14572239971601,0.121228257011005,0.0992,0.07815750371471,0.132838038632987,0.008624139
Vinateros,0.107629184753523,0.125111494321223,0.197181423559493,0.264018552655051,0.173812213831242,0.132247130879467,88,0.065552230089788,0.163807577195416,0.007968351
Ventas,0.109500670241287,0.149191521447721,0.219650636729222,0.279511561662198,0.135954256032172,0.106191353887399,0.0843,0.056910357059023,0.162567486502699,0.008167974
Pueblo Nuevo,0.118705035971223,0.153695225637672,0.222743623283192,0.283976455199477,0.136919555264879,0.083960104643558,0.0818,0.061299821658164,0.151963833934719,0.008059598
Quintana,0.109711566077217,0.152258646863332,0.229516268001477,0.28256677470972,0.122594674434825,0.103352069913429,0.0821,0.045069848067707,0.206791067604772,0.007971289
Concepción,0.116762005479979,0.1369033312503,0.218333894149882,0.285776089987021,0.135220881603615,0.107003797529203,0.0771,0.031556886227545,0.271976047904192,0.007511923
